Movie_Id,Predicted_Rating,Name,Year,Number_of_Ratings,Score
2452,4.4540110495456116,Lord of the Rings: The Fellowship of the Ring,2001.0,12454,42.000778258819985
3962,4.387946349707656,Finding Nemo (Widescreen),2003.0,11810,41.144836443995544
4306,4.316985788823031,The Sixth Sense,1999.0,12500,40.72456138098464
2782,4.355495472000281,Braveheart,1995.0,11221,40.61774540728577
2862,4.348171528342991,The Silence of the Lambs,1991.0,10892,40.420061876187106
1905,4.097031381714678,Pirates of the Caribbean: The Curse of the Black Pearl,2003.0,15912,39.63833476295887
3938,4.1734516080162924,Shrek 2,2004.0,12749,39.45283395558432
886,4.261833271425628,Ray,2004.0,9011,38.809584746747376
3290,4.436234369179953,The Godfather,1974.0,5969,38.570849510883384
571,4.02817031801853,American Beauty,1999.0,12820,38.101817445506775
1110,4.188818366251477,Secondhand Lions,2003.0,8279,37.78983643156457
1220,4.041660646670465,Man on Fire,2004.0,11059,37.632267142372065
1180,4.091455300910388,A Beautiful Mind,2001.0,9116,37.30546425615061
3624,3.991143625495888,The Last Samurai,2003.0,11440,37.29707224106403
3605,4.233803514203624,The Wizard of Oz: Collector's Edition,1939.0,6205,36.97495702789181
2660,4.1702703317012695,When Harry Met Sally,1989.0,6615,36.686894981595366
1798,3.9998436952342296,Lethal Weapon,1987.0,9315,36.5565259783872
2372,3.917471245230745,The Bourne Supremacy,2004.0,11213,36.53009921303471
30,3.938051053564008,Something's Gotta Give,2003.0,9733,36.16462003405757
1962,3.8441561565042353,50 First Dates,2004.0,12033,36.11773555428953
